characterID,characterName,alias,creator
1,Duckguy,Jonnyr Davis,James Williams
2,Superdude,William Bro,James Rodriguez
3,The Amazing Spider-Guy,James Webber,Michael Smith
4,Iron Duck,Marty Miller,Mary Martinez
5,Captain Americana,William Eagle,Michael Martinez
6,The Incredible Sulk,Michael Johnson,Jennifer Jones
7,Duck Gal,Patricia Melo,Robert Garcia
8,Aquaguy,Murray Brown,Michael Williams
9,The Flashy,Elizabeth Emmers,Jennifer Johnson
10,Green Lamplight,James Joelinton,John Rodriguez
11,Doctor Duck,John Martinez,James Johnson
12,Black Window,Linda Johnson,William Smith
13,Thora,Jennifer Hammer,Patricia Davis
14,Hawked Eye,Linda Looker,Robert Smith
15,Ant-Gentleman,Elliott Garcia,Michael Brown
16,Starlordly,Santo Rodriguez,Linda Miller
17,Green Growl,William Davis,Linda Rodriguez
18,Dare-Duck,Elizabeth Ella,Linda Martinez
19,Silver Surface,Robert Garcia,Linda Williams
20,Ghost Lighter,Elizabeth Flo,Michael Miller
21,Night Shadow,Mary Brown,John Smith
22,Mystic Mage,Michael Martinez,Patricia Jones
23,Rocket Racer,Robert Davis,Elizabeth Johnson
24,Cybernetic Cheetah,Michael Smith,John Davis
25,Quantum Quake,Noela Garcia,Elizabeth Rodriguez
26,Inferno Blaze,Lizzy Rouge,John Smith
27,Spectral Phantom,Joletar Jones,Elizabeth Martinez
28,Gravity Guardian,Michael Davis,Robert Johnson
29,Electro Surge,William Spark,Linda Williams
30,Frostbite Freeze,Mary Breeze,Linda Jones
